"standard_region_code","municipality_name","municipality_romaji","prefecture_code","prefecture_name"
"01101","札幌市中央区","SAPPORO SHI CHUO KU","01","北海道"
"01102","札幌市北区","SAPPORO SHI KITA KU","01","北海道"
"01103","札幌市東区","SAPPORO SHI HIGASHI KU","01","北海道"
"01104","札幌市白石区","SAPPORO SHI SHIROISHI KU","01","北海道"
"01105","札幌市豊平区","SAPPORO SHI TOYOHIRA KU","01","北海道"
"01106","札幌市南区","SAPPORO SHI MINAMI KU","01","北海道"
"01107","札幌市西区","SAPPORO SHI NISHI KU","01","北海道"
"01108","札幌市厚別区","SAPPORO SHI ATSUBETSU KU","01","北海道"
"01109","札幌市手稲区","SAPPORO SHI TEINE KU","01","北海道"
"01110","札幌市清田区","SAPPORO SHI KIYOTA KU","01","北海道"
"01202","函館市","HAKODATE SHI","01","北海道"
"01203","小樽市","OTARU SHI","01","北海道"
"01204","旭川市","ASAHIKAWA SHI","01","北海道"
"01205","室蘭市","MURORAN SHI","01","北海道"
"01206","釧路市","KUSHIRO SHI","01","北海道"
"01207","帯広市","OBIHIRO SHI","01","北海道"
"01208","北見市","KITAMI SHI","01","北海道"
"01209","夕張市","YUBARI SHI","01","北海道"
"01210","岩見沢市","IWAMIZAWA SHI","01","北海道"
"01211","網走市","ABASHIRI SHI","01","北海道"
"01212","留萌市","RUMOI SHI","01","北海道"
"01213","苫小牧市","TOMAKOMAI SHI","01","北海道"
"01214","稚内市","WAKKANAI SHI","01","北海道"
"01215","美唄市","BIBAI SHI","01","北海道"
"01216","芦別市","ASHIBETSU SHI","01","北海道"
"01217","江別市","EBETSU SHI","01","北海道"
"01218","赤平市","AKABIRA SHI","01","北海道"
"01219","紋別市","MOMBETSU SHI","01","北海道"
"01220","士別市","SHIBETSU SHI","01","北海道"
"01221","名寄市","NAYORO SHI","01","北海道"
"01222","三笠市","MIKASA SHI","01","北海道"
"01223","根室市","NEMURO SHI","01","北海道"
"01224","千歳市","CHITOSE SHI","01","北海道"
"01225","滝川市","TAKIKAWA SHI","01","北海道"
"01226","砂川市","SUNAGAWA SHI","01","北海道"
"01227","歌志内市","UTASHINAI SHI","01","北海道"
"01228","深川市","FUKAGAWA SHI","01","北海道"
"01229","富良野市","FURANO SHI","01","北海道"
"01230","登別市","NOBORIBETSU SHI","01","北海道"
"01231","恵庭市","ENIWA SHI","01","北海道"
"01233","伊達市","DATE SHI","01","北海道"
"01234","北広島市","KITAHIROSHIMA SHI","01","北海道"
"01235","石狩市","ISHIKARI SHI","01","北海道"
"01236","北斗市","HOKUTO SHI","01","北海道"
"01303","石狩郡当別町","ISHIKARI GUN TOBETSU CHO","01","北海道"
"01304","石狩郡新篠津村","ISHIKARI GUN SHINSHINOTSU MURA","01","北海道"
"01331","松前郡松前町","MATSUMAE GUN MATSUMAE CHO","01","北海道"
"01332","松前郡福島町","MATSUMAE GUN FUKUSHIMA CHO","01","北海道"
"01333","上磯郡知内町","KAMIISO GUN SHIRIUCHI CHO","01","北海道"
"01334","上磯郡木古内町","KAMIISO GUN KIKONAI CHO","01","北海道"
"01337","亀田郡七飯町","KAMEDA GUN NANAE CHO","01","北海道"
"01343","茅部郡鹿部町","KAYABE GUN SHIKABE CHO","01","北海道"
"01345","茅部郡森町","KAYABE GUN MORI MACHI","01","北海道"
"01346","二海郡八雲町","FUTAMI GUN YAKUMO CHO","01","北海道"
"01347","山越郡長万部町","YAMAKOSHI GUN OSHAMAMBE CHO","01","北海道"
"01361","檜山郡江差町","HIYAMA GUN ESASHI CHO","01","北海道"
"01362","檜山郡上ノ国町","HIYAMA GUN KAMINOKUNI CHO","01","北海道"
"01363","檜山郡厚沢部町","HIYAMA GUN ASSABU CHO","01","北海道"
"01364","爾志郡乙部町","NISHI GUN OTOBE CHO","01","北海道"
"01367","奥尻郡奥尻町","OKUSHIRI GUN OKUSHIRI CHO","01","北海道"
"01370","瀬棚郡今金町","SETANA GUN IMAKANE CHO","01","北海道"
"01371","久遠郡せたな町","KUDO GUN SETANA CHO","01","北海道"
"01391","島牧郡島牧村","SHIMAMAKI GUN SHIMAMAKI MURA","01","北海道"
"01392","寿都郡寿都町","SUTTSU GUN SUTTSU CHO","01","北海道"
"01393","寿都郡黒松内町","SUTTSU GUN KUROMATSUNAI CHO","01","北海道"
"01394","磯谷郡蘭越町","ISOYA GUN RANKOSHI CHO","01","北海道"
"01395","虻田郡ニセコ町","ABUTA GUN NISEKO CHO","01","北海道"
"01396","虻田郡真狩村","ABUTA GUN MAKKARI MURA","01","北海道"
"01397","虻田郡留寿都村","ABUTA GUN RUSUTSU MURA","01","北海道"
"01398","虻田郡喜茂別町","ABUTA GUN KIMOBETSU CHO","01","北海道"
"01399","虻田郡京極町","ABUTA GUN KYOGOKU CHO","01","北海道"
"01400","虻田郡倶知安町","ABUTA GUN KUTCHAN CHO","01","北海道"
"01401","岩内郡共和町","IWANAI GUN KYOWA CHO","01","北海道"
"01402","岩内郡岩内町","IWANAI GUN IWANAI CHO","01","北海道"
"01403","古宇郡泊村","FURU GUN TOMARI MURA","01","北海道"
"01404","古宇郡神恵内村","FURU GUN KAMOENAI MURA","01","北海道"
"01405","積丹郡積丹町","SHAKOTAN GUN SHAKOTAN CHO","01","北海道"
"01406","古平郡古平町","FURUBIRA GUN FURUBIRA CHO","01","北海道"
"01407","余市郡仁木町","YOICHI GUN NIKI CHO","01","北海道"
"01408","余市郡余市町","YOICHI GUN YOICHI CHO","01","北海道"
"01409","余市郡赤井川村","YOICHI GUN AKAIGAWA MURA","01","北海道"
"01423","空知郡南幌町","SORACHI GUN NAMPORO CHO","01","北海道"
"01424","空知郡奈井江町","SORACHI GUN NAIE CHO","01","北海道"
"01425","空知郡上砂川町","SORACHI GUN KAMISUNAGAWA CHO","01","北海道"
"01427","夕張郡由仁町","YUBARI GUN YUNI CHO","01","北海道"
"01428","夕張郡長沼町","YUBARI GUN NAGANUMA CHO","01","北海道"
"01429","夕張郡栗山町","YUBARI GUN KURIYAMA CHO","01","北海道"
"01430","樺戸郡月形町","KABATO GUN TSUKIGATA CHO","01","北海道"
"01431","樺戸郡浦臼町","KABATO GUN URAUSU CHO","01","北海道"
"01432","樺戸郡新十津川町","KABATO GUN SHINTOTSUKAWA CHO","01","北海道"
"01433","雨竜郡妹背牛町","URYU GUN MOSEUSHI CHO","01","北海道"
"01434","雨竜郡秩父別町","URYU GUN CHIPPUBETSU CHO","01","北海道"
"01436","雨竜郡雨竜町","URYU GUN URYU CHO","01","北海道"
"01437","雨竜郡北竜町","URYU GUN HOKURYU CHO","01","北海道"
"01438","雨竜郡沼田町","URYU GUN NUMATA CHO","01","北海道"
"01452","上川郡鷹栖町","KAMIKAWA GUN TAKASU CHO","01","北海道"
"01453","上川郡東神楽町","KAMIKAWA GUN HIGASHIKAGURA CHO","01","北海道"
"01454","上川郡当麻町","KAMIKAWA GUN TOMA CHO","01","北海道"
"01455","上川郡比布町","KAMIKAWA GUN PIPPU CHO","01","北海道"
"01456","上川郡愛別町","KAMIKAWA GUN AIBETSU CHO","01","北海道"
"01457","上川郡上川町","KAMIKAWA GUN KAMIKAWA CHO","01","北海道"
"01458","上川郡東川町","KAMIKAWA GUN HIGASHIKAWA CHO","01","北海道"
"01459","上川郡美瑛町","KAMIKAWA GUN BIEI CHO","01","北海道"
"01460","空知郡上富良野町","SORACHI GUN KAMIFURANO CHO","01","北海道"
"01461","空知郡中富良野町","SORACHI GUN NAKAFURANO CHO","01","北海道"
"01462","空知郡南富良野町","SORACHI GUN MINAMIFURANO CHO","01","北海道"
"01463","勇払郡占冠村","YUFUTSU GUN SHIMUKAPPU MURA","01","北海道"
"01464","上川郡和寒町","KAMIKAWA GUN WASSAMU CHO","01","北海道"
"01465","上川郡剣淵町","KAMIKAWA GUN KEMBUCHI CHO","01","北海道"
"01468","上川郡下川町","KAMIKAWA GUN SHIMOKAWA CHO","01","北海道"
"01469","中川郡美深町","NAKAGAWA GUN BIFUKA CHO","01","北海道"
"01470","中川郡音威子府村","NAKAGAWA GUN OTOINEPPU MURA","01","北海道"
"01471","中川郡中川町","NAKAGAWA GUN NAKAGAWA CHO","01","北海道"
"01472","雨竜郡幌加内町","URYU GUN HOROKANAI CHO","01","北海道"
"01481","増毛郡増毛町","MASHIKE GUN MASHIKE CHO","01","北海道"
"01482","留萌郡小平町","RUMOI GUN OBIRA CHO","01","北海道"
"01483","苫前郡苫前町","TOMAMAE GUN TOMAMAE CHO","01","北海道"
"01484","苫前郡羽幌町","TOMAMAE GUN HABORO CHO","01","北海道"
"01485","苫前郡初山別村","TOMAMAE GUN SHOSAMBETSU MURA","01","北海道"
"01486","天塩郡遠別町","TESHIO GUN EMBETSU CHO","01","北海道"
"01487","天塩郡天塩町","TESHIO GUN TESHIO CHO","01","北海道"
"01511","宗谷郡猿払村","SOYA GUN SARUFUTSU MURA","01","北海道"
"01512","枝幸郡浜頓別町","ESASHI GUN HAMATOMBETSU CHO","01","北海道"
